ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
CF-1263,claude-sonnet-4-5-20250929,Marghi,Vaccinations,2,2025-11-27T14:33:10.889271,Allurar rigakafin cutuka na taimaka wajen kare lafiyar yara da manya.,msgbatch_01F1muqzB14y75J3cffbGp4M,Marghi-Vaccinations-1,claude-sonnet-4-5-20250929,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi (is hausa but readable),6,6,5,1
WE-0043,claude-haiku-4-5-20251001,Marghi,Child health,2,2025-11-27T14:33:11.664014,Yar na gida ya sha ruwan da yake da lafiya kaicettattu.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Marghi-Child_health-1,claude-haiku-4-5-20251001,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa not marghi,5,5,5,1
FB-9182,claude-haiku-4-5-20251001,Marghi,Medications,4,2025-11-27T14:33:11.666168,Makaruwa da ya ba ni magani ya taimakar ni daga cikin rashin lafiya.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Marghi-Medications-3,claude-haiku-4-5-20251001,6 - Easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",mixed hausa and not marghi,6,5,5,1
QY-1247,claude-haiku-4-5-20251001,Marghi,Vaccinations,2,2025-11-27T14:33:11.664853,Vaksiníin a rén kə jərú kə dúkúr cídí kə gídá wúyú.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Marghi-Vaccinations-1,claude-haiku-4-5-20251001,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,1,1,1,1
ST-1845,gpt-5,Marghi,Child health,2,2025-11-27T14:33:12.986657,"A Maiduguri, lafiyar yaro ta dogara da ruwan sha tsabta.",batch_69277e29eb6c8190bcce73373760b801,Marghi-Child_health-1,gpt-5,6 - Easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,6,5,5,1
CT-2084,gpt-5,Marghi,Medications,4,2025-11-27T14:33:12.986827,"A Gwoza, magani asibiti ka di, ma bzu tì nyi.",batch_69277e29eb6c8190bcce73373760b801,Marghi-Medications-3,gpt-5,3 - Somewhat difficult to read and understand,5 - Somewhat natural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi (Mixed hausa and other language that is not marghi),3,5,2,1
TX-6538,gpt-5,Marghi,Vaccinations,2,2025-11-27T14:33:12.986732,"Vaksin ndá lamti pikin wula, Gwoza ma tálá nyi.",batch_69277e29eb6c8190bcce73373760b801,Marghi-Vaccinations-1,gpt-5,2 - Difficult to read and understand,5 - Somewhat natural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,2,5,3,1
WZ-1227,gemini-2.5-flash-lite,Marghi,Child health,2,2025-11-27T14:33:13.893878,Yaro yana bukatar ruwa mai tsafta don ya lafiyayye.,batches/sqgxsci9onht72oe0cd8fn3vsdaypk2cu76p,req-1,gemini-2_5-flash-lite,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",mixed hausa and not marghi,5,5,5,1
FL-4495,gemini-2.5-flash-lite,Marghi,Medications,2,2025-11-27T14:33:13.893897,"Idan kana da ciwon kai, shan magani zai taimaka maka sosai.",batches/sqgxsci9onht72oe0cd8fn3vsdaypk2cu76p,req-11,gemini-2_5-flash-lite,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa not marghi,7,6,6,1
KU-0307,gemini-2.5-flash-lite,Marghi,Vaccinations,5,2025-11-27T14:33:13.893894,"Sabo da rigakafi, yara sun fi lafiya.",batches/sqgxsci9onht72oe0cd8fn3vsdaypk2cu76p,req-9,gemini-2_5-flash-lite,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,7,6,3,1
TW-9073,gemini-2.5-flash,Marghi,Child health,3,2025-11-27T14:33:15.058724,Ɗiɓəla kə ci vətə fə də dáŋə wáɗə.,batches/15f4z0fe57rmq4hocor0x0b84c1mb7sx84cg,req-2,gemini-2_5-flash,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,1,2,1
OX-2291,gemini-2.5-flash,Marghi,Medications,2,2025-11-27T14:33:15.058751,Yara kəzla ngwa ma ngwə̀-də.,batches/15f4z0fe57rmq4hocor0x0b84c1mb7sx84cg,req-11,gemini-2_5-flash,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,1,1,1,1
PM-4803,gemini-2.5-flash,Marghi,Vaccinations,5,2025-11-27T14:33:15.058745,À vùnà à wá mbálá nà ciyá.,batches/15f4z0fe57rmq4hocor0x0b84c1mb7sx84cg,req-9,gemini-2_5-flash,2 - Difficult to read and understand,4 - Neutral / Neither natural nor unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,2,4,2,1
HL-1174,gpt-5-mini,Marghi,Child health,2,2025-11-27T14:33:16.669716,Kula da lafiyar yara yana bukatar alluran rigakafi da abinci mai kyau.,batch_69277e2f21e08190a4b6ab15ae9d4a0a,Marghi-Child_health-1,gpt-5-mini,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa not marghi,6,6,5,1
QU-6369,gpt-5-mini,Marghi,Medications,4,2025-11-27T14:33:16.670131,"Ya laabu dawa, ngwɛra dokita yiŋa ma.",batch_69277e2f21e08190a4b6ab15ae9d4a0a,Marghi-Medications-3,gpt-5-mini,2 - Difficult to read and understand,2 - Unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",It does not convey any message in marghi,2,2,3,1
HR-0584,gpt-5-mini,Marghi,Vaccinations,2,2025-11-27T14:33:16.669971,Kawo yara ku domin su sami allurar rigakafi a asibiti.,batch_69277e2f21e08190a4b6ab15ae9d4a0a,Marghi-Vaccinations-1,gpt-5-mini,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa not marghi,7,6,6,1
QR-9975,gpt-5-nano,Marghi,Child health,2,2025-11-27T14:33:17.650969,Anya zi nyi mbu na yaa?,batch_69277e3018b081909ffc008ef93a1951,Marghi-Child_health-1,gpt-5-nano,3 - Somewhat difficult to read and understand,3 - Somewhat unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",It does not convey any message in marghi,3,3,3,1
KQ-5379,gpt-5-nano,Marghi,Medications,4,2025-11-27T14:33:17.651063,Medikasi na enyere ahụ ike.,batch_69277e3018b081909ffc008ef93a1951,Marghi-Medications-3,gpt-5-nano,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,1,1,1,1
TV-7881,gpt-5-nano,Marghi,Vaccinations,2,2025-11-27T14:33:17.651011,Rigakafi na yara ya taimaka wa lafiyar al'umma.,batch_69277e3018b081909ffc008ef93a1951,Marghi-Vaccinations-1,gpt-5-nano,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,5,5,5,1
BQ-5588,gpt-4.1,Marghi,Child health,2,2025-11-27T14:33:18.579086,"Ngamye wurdum ka gimi, ai gomna to na dara dai.",batch_69277e3160f4819089421e28bd92aed3,Marghi-Child_health-1,gpt-4_1-2025-04-14,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,1,4,2,1
VG-4856,gpt-4.1,Marghi,Medications,4,2025-11-27T14:33:18.579415,Ngurdule mariyo biya wa chi ga walde.,batch_69277e3160f4819089421e28bd92aed3,Marghi-Medications-3,gpt-4_1-2025-04-14,2 - Difficult to read and understand,4 - Neutral / Neither natural nor unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,2,4,2,1
JY-3275,gpt-4.1,Marghi,Vaccinations,2,2025-11-27T14:33:18.579227,A to du ru yita ma wuta goyo hita dinga.,batch_69277e3160f4819089421e28bd92aed3,Marghi-Vaccinations-1,gpt-4_1-2025-04-14,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,1,1,1,1
NX-4606,claude-sonnet-4-20250514,Marghi,Child health,2,2025-11-27T14:33:19.163295,Yara sun bukaci abinci mai gina jiki don lafiyar jikinsu.,msgbatch_01NTGGLbg99xrS1C6PBadDGf,Marghi-Child_health-1,claude-sonnet-4-20250514,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,7,6,3,1
VM-4932,claude-sonnet-4-20250514,Marghi,Medications,4,2025-11-27T14:33:19.164606,Magani na wannan ciwon ya kamata a sha shi kowace rana.,msgbatch_01NTGGLbg99xrS1C6PBadDGf,Marghi-Medications-3,claude-sonnet-4-20250514,6 - Easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa not marghi,6,5,5,1
HP-5583,claude-sonnet-4-20250514,Marghi,Vaccinations,2,2025-11-27T14:33:19.164016,Rigima na barka da ciwon sankara da sauran cututtuka masu hadari.,msgbatch_01NTGGLbg99xrS1C6PBadDGf,Marghi-Vaccinations-1,claude-sonnet-4-20250514,6 - Easy to read and understand,6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa not marghi,6,6,6,1
CA-0032,gemini-3-pro-preview,Marghi,Child health,2,2025-11-27T14:33:20.461015,"Ka ɓu bzur ku asibiti, kə a n'da kwa nanya.",batches/xn96hddmsmab4gxju9nwzlb5agiu4fbh7drq,req-1,gemini-3-pro-preview,3 - Somewhat difficult to read and understand,5 - Somewhat natural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,3,5,3,1
XN-6617,gemini-3-pro-preview,Marghi,Medications,4,2025-11-27T14:33:20.461032,Sa magar ku sǫ mambal ago sǫ u'i ga ka bǝl.,batches/xn96hddmsmab4gxju9nwzlb5agiu4fbh7drq,req-13,gemini-3-pro-preview,2 - Difficult to read and understand,5 - Somewhat natural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",It does not convey any message in marghi,2,5,2,1
RA-8864,gemini-3-pro-preview,Marghi,Vaccinations,2,2025-11-27T14:33:20.461023,Naja kəl bzɨr nyu ar asibiti ga ha allura?,batches/xn96hddmsmab4gxju9nwzlb5agiu4fbh7drq,req-6,gemini-3-pro-preview,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0
JE-9338,bedrock-claude-3-5-sonnet,Marghi,Child health,2,2025-11-26T23:44:36.003528,Ɓa nya sha ɓa mwetha dal kəra nda nsa dəɗa.,,,claude-3-5-sonnet-20241022,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,1,1,1,1
AD-0701,bedrock-claude-3-5-sonnet,Marghi,Medications,4,2025-11-26T23:44:55.550532,Nya məraku hər mbəɗangər anda mai gərngər.,,,claude-3-5-sonnet-20241022,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",It does not convey any message in marghi,1,4,2,1
OO-4460,bedrock-claude-3-5-sonnet,Marghi,Vaccinations,2,2025-11-26T23:44:43.504612,Alku ja ali mwal nga ɗu adakur nga tira yimi.,,,claude-3-5-sonnet-20241022,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,1,1,1,1
